2025-11-23 15:22:52,交通出行,深圳通,huq***@shenzhentong.com,地铁-洪浪北-2025-11-23 15:18:15-灵芝-2025-11-23 15:22:49,支出,2.00,花呗,交易成功,2025112322001451781419978701	,202511232180919604	,,
2025-11-23 09:46:40,交通出行,深圳通,huq***@shenzhentong.com,地铁-香梅-2025-11-23 09:07:02-灵芝-2025-11-23 09:46:37,支出,6.00,花呗,交易成功,2025112322001451781417539127	,202511232141425093	,,
2025-11-19 00:16:27,餐饮美食,南国**店,xia***@126.com,南国冷榨椰子油食用油纯海南特产护肤护发炒菜生酮烘焙漱口身体油 等多件,支出,0.00,,支付成功,2025111922001151781448782035	,T200P4891087404510152728	,,
2025-11-15 19:24:35,餐饮美食,钱大妈,qin***@qdama.cn,红萝卜等4件商品,支出,19.37,花呗,交易成功,2025111522001451781430305941	,960258533729800192	,,
2025-11-15 19:12:12,交通出行,深圳通,huq***@shenzhentong.com,地铁-仙湖路-2025-11-15 18:38:14-景田-2025-11-15 19:12:09,支出,5.00,花呗,交易成功,2025111522001451781427169302	,202511151249890918	,,
2025-11-15 15:07:17,交通出行,深圳通,huq***@shenzhentong.com,地铁-景田-2025-11-15 14:31:22-仙湖路-2025-11-15 15:07:14,支出,5.00,花呗,交易成功,2025111522001451781429476997	,202511151214405532	,,
2025-11-15 11:23:00,交通出行,深圳通,huq***@shenzhentong.com,地铁-大剧院-2025-11-15 11:01:49-景田-2025-11-15 11:22:57,支出,4.00,花呗,交易成功,2025111522001451781424251788	,202511151186231316	,,
2025-11-15 09:16:03,交通出行,深圳通,huq***@shenzhentong.com,地铁-景田-2025-11-15 08:53:13-大剧院-2025-11-15 09:15:59,支出,4.00,花呗,交易成功,2025111522001451781424220670	,202511151171988478	,,
2025-11-15 08:57:45,信用借还,花呗,/,花呗自动还款-2025年11月账单,不计收支,988.69,邮储银行储蓄卡(3306),还款成功,2025111529020999780191605602	,	,,
2025-11-14 22:00:30,日用百货,沃尔玛购物广场深圳香蜜湖店,jas***@walmart.com,沃尔玛购物广场1059店,支出,93.46,花呗,交易成功,2025111422001451781420481169	,60800081059250014614178862	,,
2025-11-14 18:55:12,餐饮美食,钱大妈,qin***@qdama.cn,优鲜瘦肉等3件商品,支出,28.00,花呗,交易成功,2025111422001451781423647085	,959888753982210048	,,
2025-11-14 08:53:26,餐饮美食,晗**,180******87,段小段推荐 东北白糯玉米 软糯香甜 真空锁鲜 黏玉米8棒非转基因,支出,0.00,,支付成功,2025111422001151781420431145	,T200P4880566044625152728	,,
2025-11-09 11:01:23,日用百货,利民日聚佳百货店,189******03,收钱码收款,支出,5.82,花呗&支付宝立减,交易成功,2025110922001451781444561773	,17626572836122196851784	,,
2025-11-09 10:56:45,餐饮美食,钱大妈,qin***@qdama.cn,A级-砂糖桔 1件,支出,8.96,花呗,交易成功,2025110922001451781444912332	,957956408605712384	,,
2025-11-08 19:34:40,交通出行,深圳通,huq***@shenzhentong.com,地铁-荔林-2025-11-08 19:01:49-香梅-2025-11-08 19:34:36,支出,5.00,花呗,交易成功,2025110822001451781442325493	,202511080403966383	,,
2025-11-08 15:02:16,交通出行,深圳通,huq***@shenzhentong.com,地铁-香梅-2025-11-08 14:24:27-荔林-2025-11-08 15:02:13,支出,5.00,花呗,交易成功,2025110822001451781443813065	,202511080362199290	,,
2025-11-04 10:44:14,日用百货,优勤**店,zhu***@163.com,【优惠价】锡纸空气炸锅专用纸家用食品级加厚烧烤锡箔纸盘圆形铝箔纸锡纸碗,支出,12.58,花呗&焕新折扣,交易成功,2025110422001151781409833941	,T200P4857070179064152728	,,
2025-11-02 17:41:18,交通出行,深圳通,huq***@shenzhentong.com,地铁-红岭北-2025-11-02 17:17:34-香梅-2025-11-02 17:41:14,支出,4.00,花呗,交易成功,2025110222001451781403356515	,202511029674675027	,,
2025-11-02 15:07:48,交通出行,深圳通,huq***@shenzhentong.com,地铁-香梅-2025-11-02 14:46:05-红岭北-2025-11-02 15:07:44,支出,4.00,花呗,交易成功,2025110222001451781458489567	,202511029650824374	,,
2025-11-01 22:43:38,日用百货,陈***v,158******15,哑铃，有六个，总重量有30kg,支出,38.00,花呗,支付成功,2025110122001151781456670948	,T200P4852218456714152728	,,
